abstract,lead_paragraph,news_desk,section_name,subsection_name,time,subject
"The Democratic presidential candidates don’t want to simply defend abortion rights. They want to go on offense.","The Democratic presidential field has coalesced around an abortion rights agenda more far-reaching than anything past nominees have proposed, according to a New York Times survey of the campaigns. The positions reflect a hugely consequential shift on one of the country’s most politically divisive issues.","The Democratic presidential field has coalesced around an abortion rights agenda more far-reaching than anything past nominees have proposed, according to a New York Times survey of the campaigns. The positions reflect a hugely consequential shift on one of the country’s most politically divisive issues.","U.S.","Politics","2019-11-25T10:00:20+0000","democrat"
"A new poll shows 70 percent of Americans believe President Trump was wrong to try to enlist Ukraine to investigate his political rivals. Democratic lawmakers are ratcheting up their rhetoric.","WASHINGTON — House Democrats, confident that public support is growing for their impeachment inquiry as they head into a second week of nationally televised hearings, are sharpening their tone as they make their case that President Trump withheld military aid from Ukraine in a bid to force its leader to investigate his political rivals.","WASHINGTON — House Democrats, confident that public support is growing for their impeachment inquiry as they head into a second week of nationally televised hearings, are sharpening their tone as they make their case that President Trump withheld military aid from Ukraine in a bid to force its leader to investigate his political rivals.","U.S.","Politics","2019-11-19T01:08:53+0000","democrat"
"The 2018 governor’s race in the state was marred by accusations of rampant voter suppression, particularly of black voters.","The fifth Democratic debate in Atlanta brought the spotlight of the presidential primary to Georgia, a state plagued by rampant accusations of voter suppression and unfairly aggressive voter registration purges.","The fifth Democratic debate in Atlanta brought the spotlight of the presidential primary to Georgia, a state plagued by rampant accusations of voter suppression and unfairly aggressive voter registration purges.","U.S.","Politics","2019-11-21T11:00:08+0000","democrat"
"President Trump is refusing to engage and Democrats have concluded they will press ahead anyway, rendering a historic undertaking little more than a foregone conclusion.","WASHINGTON — Almost from the moment that Speaker Nancy Pelosi and her lieutenants decided this fall to pursue the impeachment of President Trump, they made a fateful judgment: If the president intended to do nothing but stonewall and subvert their inquiry, they were not going to be the ones politely sticking to lofty traditions.","WASHINGTON — Almost from the moment that Speaker Nancy Pelosi and her lieutenants decided this fall to pursue the impeachment of President Trump, they made a fateful judgment: If the president intended to do nothing but stonewall and subvert their inquiry, they were not going to be the ones politely sticking to lofty traditions.","U.S.","Politics","2019-12-08T18:39:33+0000","democrat"
"No Democrat in modern times has won the party’s nomination without claiming majorities of black voters, the most crucial voting bloc in South Carolina and an array of delegate-rich states.","Former Vice President Joseph R. Biden Jr. has 154 endorsements from current or former black or Hispanic elected officials. Senator Kamala Harris has 93. Senator Bernie Sanders has 91. Senator Cory Booker has 50. Senator Elizabeth Warren has 43.","Former Vice President Joseph R. Biden Jr. has 154 endorsements from current or former black or Hispanic elected officials. Senator Kamala Harris has 93. Senator Bernie Sanders has 91. Senator Cory Booker has 50. Senator Elizabeth Warren has 43.","U.S.","Politics","2019-11-21T16:03:25+0000","democrat"
"It helps explain Trump.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","Opinion",,"2019-12-06T15:29:15+0000","democrat"
"An army of Democratic lawyers and aides are preparing to formally present the case for impeachment to lawmakers — and the country.","WASHINGTON — Far from any television camera and a half world away from Ukraine, a few dozen Democratic staff aides, lawyers and House members are grinding away this weekend in a loose clump of Capitol Hill offices, the beating heart of the impeachment operation against President Trump. ","WASHINGTON — Far from any television camera and a half world away from Ukraine, a few dozen Democratic staff aides, lawyers and House members are grinding away this weekend in a loose clump of Capitol Hill offices, the beating heart of the impeachment operation against President Trump. ","U.S.",,"2019-12-07T18:25:34+0000","democrat"
"Who vs. what.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","Opinion",,"2019-12-05T13:32:03+0000","democrat"
"In a sharply worded letter, the White House counsel denounced the impeachment inquiry and called on Democrats to end it, or get it over with quickly so it could proceed to a Senate trial.","WASHINGTON — The White House signaled on Friday that it did not intend to mount a defense of President Trump or otherwise participate in the House impeachment proceedings, sending Democrats a sharply worded letter that condemned the process as “completely baseless” and urged them to get it over with quickly.","WASHINGTON — The White House signaled on Friday that it did not intend to mount a defense of President Trump or otherwise participate in the House impeachment proceedings, sending Democrats a sharply worded letter that condemned the process as “completely baseless” and urged them to get it over with quickly.","U.S.","Politics","2019-12-06T21:44:00+0000","democrat"
"Not to mention beat Trump.","Gail Collins: Bret, how do you feel about billionaires? Not personally — I’m sure some of your best friends are billionaires — but as presidential candidates. Ever since Michael Bloomberg started running, there’s been a lot of complaining about rich guys trying to buy the race. Does that worry you, or do you find people like Bloomberg and Tom Steyer to be, um, valuable additions?","Gail Collins: Bret, how do you feel about billionaires? Not personally — I’m sure some of your best friends are billionaires — but as presidential candidates. Ever since Michael Bloomberg started running, there’s been a lot of complaining about rich guys trying to buy the race. Does that worry you, or do you find people like Bloomberg and Tom Steyer to be, um, valuable additions?","Opinion",,"2019-12-10T11:00:08+0000","democrat"
"North Carolina Republicans introduced a new congressional map giving Democrats more potential clout. It’s still not enough, Democrats say, vowing to go back to court.","WASHINGTON — North Carolina’s Republican-controlled legislature, under a court order to throw out its gerrymandered congressional map, on Friday enacted a new one that effectively gives the party eight of the state’s 13 congressional seats instead of the 10 it had before. ","WASHINGTON — North Carolina’s Republican-controlled legislature, under a court order to throw out its gerrymandered congressional map, on Friday enacted a new one that effectively gives the party eight of the state’s 13 congressional seats instead of the 10 it had before. ","U.S.",,"2019-11-16T00:29:48+0000","democrat"
"Three law experts called by Democrats on the House Judiciary Committee and one called by Republicans provided contrasting judgments of the case for impeachment against President Trump.","Three law experts called by Democrats on the House Judiciary Committee and one called by Republicans provided contrasting judgments of the case for impeachment against President Trump.","Three law experts called by Democrats on the House Judiciary Committee and one called by Republicans provided contrasting judgments of the case for impeachment against President Trump.","U.S.","Politics","2019-12-04T21:33:31+0000","democrat"
